Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMD,AMZN,MSFT,NVDA,AAPL,AMD,AMZN,MSFT,NVDA,AAPL,AMD,AMZN,MSFT,NVDA,AAPL,AMD,AMZN,MSFT,NVDA,AAPL,AMD,AMZN,MSFT,NVDA
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2004-01-02,0.32019588351249695,14.859999656677246,2.5950000286102295,17.006986618041992,0.1763695329427719,0.3272680159018213,15.109999656677246,2.6565001010894775,17.205246376744828,0.18255929133978444,0.3186909682540577,14.770000457763672,2.571500062942505,16.93263861766774,0.1763695329427719,0.3242581602728874,15.100000381469727,2.638000011444092,17.087529201869504,0.1801145700922237,144642400,8220700,132798000,44487700,436416000
2004-01-05,0.3335876762866974,15.199999809265137,2.6635000705718994,17.43447494506836,0.18210077285766602,0.33689749552439785,15.270000457763672,2.680000066757202,17.459257993208645,0.18332404883401848,0.3223024437687812,15.010000228881836,2.56850004196167,17.174258848199244,0.17743964907189622,0.3223024437687812,15.050000190734863,2.5999999046325684,17.180454610234317,0.17904440711104602,395018400,9156000,225682000,67333700,575292000
2004-01-06,0.33238357305526733,15.609999656677246,2.6514999866485596,17.496427536010742,0.18951380252838135,0.3373491560185104,15.819999694824219,2.674999952316284,17.52121057870092,0.1920355494931503,0.32666641131563495,15.050000190734863,2.63700008392334,17.391101968018518,0.18072525835407321,0.33479094047143776,15.210000038146973,2.6554999351501465,17.465449914368538,0.18156615040152357,509348000,14592200,119710000,46950800,1093344000
2004-01-07,0.33990737795829773,15.65999984741211,2.5950000286102295,17.47783851623535,0.19119468331336975,0.3435188437662398,15.989999771118164,2.632999897003174,17.53979493508018,0.19211168606036325,0.3299762362233882,15.489999771118164,2.546999931335449,17.353926860266093,0.18607506445131985,0.3325344520075724,15.779999732971191,2.6089999675750732,17.45305665772966,0.18737354930489467,586874400,15329300,184854000,54298200,673032000
2004-01-08,0.35149329900741577,15.930000305175781,2.51200008392334,17.446861267089844,0.1918824315071106,0.3570605154961144,16.0,2.6050000190734863,17.64512086621489,0.19448028930023623,0.3408097278213899,15.59000015258789,2.501499891281128,17.34773146752732,0.19004842608273043,0.34366873500350203,15.949999809265137,2.6045000553131104,17.589360206245917,0.19356328658804614,460303200,11764600,206406000,58810800,433752000
2004-01-09,0.3460761606693268,15.539999961853027,2.5794999599456787,17.137086868286133,0.19463345408439636,0.36307940877288747,15.800000190734863,2.6075000762939453,17.384911461483878,0.19700207862197602,0.3429163356733913,15.399999618530273,2.4549999237060547,17.093717712191637,0.18905534008726704,0.34953680299375023,15.739999771118164,2.4885001182556152,17.366325355569593,0.19058307237411773,427459200,14421800,255584000,67079900,766584000
2004-01-12,0.3570605516433716,15.770000457763672,2.6475000381469727,17.08132553100586,0.19684983789920807,0.36112280323436474,15.770000457763672,2.6514999866485596,17.180455364477368,0.19746055361646753,0.34758105219305274,15.4399995803833,2.5399999618530273,16.94502230541274,0.19348718474342283,0.3498384501609021,15.699999809265137,2.5804998874664307,17.14328197235576,0.19532119025063033,487547200,8306700,189018000,55845200,541980000
2004-01-13,0.3629285395145416,15.1899995803833,2.745500087738037,16.99457359313965,0.18668578565120697,0.37376210544904404,15.850000381469727,2.749500036239624,17.124680952084486,0.19776681690009784,0.35901623223490703,15.140000343322754,2.620500087738037,16.889248081828164,0.18462253297694223,0.37165555572017495,15.84000015258789,2.633500099182129,17.068920317759588,0.19585578539071477,679016800,12812000,290446000,51555900,865800000
2004-01-14,0.3641326129436493,15.199999809265137,2.7899999618530273,17.161867141723633,0.18531031906604767,0.36924816392866167,15.369999885559082,2.799499988555908,17.180453244630737,0.19027770369599126,0.357812964181021,15.109999656677246,2.7074999809265137,17.01936698968529,0.18355333945759172,0.3671416143411189,15.350000381469727,2.7309999465942383,17.050345797398272,0.1876028193800122,620043200,13103400,222682000,43907000,544872000
2004-01-15,0.34381964802742004,15.899999618530273,2.809000015258789,17.06273651123047,0.18561658263206482,0.35209502576568025,15.920000076293945,2.8389999866485596,17.174256668545954,0.18714430119662437,0.338553272549086,15.140000343322754,2.7309999465942383,16.988388557966182,0.18064918460110171,0.3447221000960126,15.25,2.7365000247955322,17.068931090758586,0.18393479819435868,1018208800,15471500,244346000,58504100,609204000
2004-01-16,0.3418630361557007,16.760000228881836,2.7860000133514404,17.230012893676758,0.18844369053840637,0.3466785991597508,17.079999923706055,2.81850004196167,17.273382029510497,0.1900484351127038,0.34020812661877275,15.899999618530273,2.7634999752044678,17.05653635034179,0.18576879285762687,0.34442122631118216,16.010000228881836,2.813499927520752,17.168056478891273,0.18752668778264575,372820000,25060000,182284000,63983400,451728000
2004-01-20,0.3420138359069824,17.3799991607666,2.8304998874664307,17.40968894958496,0.1937163919210434,0.3430671107584801,17.5,2.8420000076293945,17.471645373520666,0.194021749694932,0.334790881128797,16.799999237060547,2.7704999446868896,17.304363383410415,0.1885967744428555,0.3411105553498365,17.239999771118164,2.7785000801086426,17.335341004518018,0.190736137214989,315946400,21899500,154968000,63068500,487764000
2004-01-21,0.3402082324028015,15.899999618530273,2.809999942779541,17.533601760864258,0.18477565050125122,0.3456254317050961,16.700000762939453,2.8469998836517334,17.533601760864258,0.19287552368050517,0.33750004710069065,15.729999542236328,2.7820000648498535,17.254799607525626,0.1844702926898516,0.3415623250538569,16.700000762939453,2.808000087738037,17.42827618781084,0.19211165773103267,226660000,28796300,135672000,53570600,494460000
2004-01-22,0.3337375819683075,15.430000305175781,2.8589999675750732,17.353925704956055,0.1804960072040558,0.34351872601561606,16.100000381469727,2.8910000324249268,17.620337461048596,0.1887490169672303,0.3337375819683075,15.180000305175781,2.812000036239624,17.310556569168025,0.17828053361560534,0.33945562119992806,15.930000305175781,2.8405001163482666,17.57077256561652,0.18576876192337552,205004800,17510800,213444000,78425200,605724000
2004-01-23,0.3394556939601898,15.319999694824219,2.8554999828338623,17.64511489868164,0.17644654214382172,0.3421638786193324,15.550000190734863,2.880500078201294,17.818592580106554,0.18317091869716512,0.3347909285034838,15.15999984741211,2.8310000896453857,17.48402873344137,0.17606415821854332,0.3373491439591065,15.430000305175781,2.8550000190734863,17.521203281995298,0.17957901857916067,227169600,8128200,120780000,127259100,482472000
2004-01-26,0.3462269604206085,15.600000381469727,2.8515000343322754,17.843381881713867,0.18340016901493073,0.3469794180402105,15.619999885559082,2.859999895095825,17.861969163752423,0.18416402136499682,0.3374999436893001,15.180000305175781,2.815000057220459,17.545992459420088,0.1762172978365056,0.3379507553028061,15.1899995803833,2.8399999141693115,17.651318027530866,0.17759279503896536,271269600,7286300,111320000,58299600,393684000
2004-01-27,0.3471294045448303,15.5600004196167,2.7869999408721924,17.50262451171875,0.17293070256710052,0.34983844276613935,16.079999923706055,2.88700008392334,17.793818193219966,0.18263623266991122,0.34306712792764904,15.539999961853027,2.7829999923706055,17.484037228410784,0.17155520589432466,0.3466785929414548,15.800000190734863,2.8364999294281006,17.74425328611932,0.179732089043636,307070400,11138900,259282000,63196200,934104000
2004-01-28,0.3388541042804718,15.300000190734863,2.5980000495910645,17.168058395385742,0.1724722683429718,0.351794223333629,15.989999771118164,2.7225000858306885,17.62033944660431,0.1778981741320775,0.3371991944022038,15.25,2.5810000896453857,17.01936369233378,0.17155527927845318,0.34366883957978933,15.899999618530273,2.681999921798706,17.53359998353366,0.17514716594538832,275402400,8797800,431626000,71336000,615204000
2004-01-29,0.3412614166736603,14.680000305175781,2.4609999656677246,17.291975021362305,0.16742877662181854,0.3430671492930197,15.600000381469727,2.6029999256134033,17.316758068152417,0.17384778216672694,0.3338884918850229,14.25,2.430000066757202,17.0813238505292,0.161621402301223,0.34050895902410616,15.5,2.6019999980926514,17.230018586107736,0.17300780552141162,212699200,19116800,449702000,63748400,929700000
2004-01-30,0.3394556939601898,14.859999656677246,2.5199999809265137,17.13088035583496,0.17002753913402557,0.344120434304839,15.0,2.56850004196167,17.285770777102403,0.17384777103727866,0.3373491439591065,14.539999961853027,2.4649999141693115,17.068923950983958,0.1660532550428977,0.3408097862897611,14.710000038146973,2.4744999408721924,17.248597406879853,0.16704728382231385,185298400,8183200,228090000,40528700,466464000
2004-02-02,0.3358442187309265,14.640000343322754,2.4135000705718994,16.975994110107422,0.17277856171131134,0.34321714351770544,15.199999809265137,2.5325000286102295,17.22381860874803,0.17614028572216625,0.3322335821909697,14.600000381469727,2.3975000381469727,16.876864310651175,0.16964516946165317,0.3379507686700062,15.0,2.5325000286102295,17.106102710469006,0.17140306439968067,287431200,8095100,231778000,62891800,560844000
2004-02-03,0.33494171500205994,14.75,2.246999979019165,16.907846450805664,0.17216692864894867,0.33704826461555293,14.90999984741211,2.4140000343322754,17.068931520445563,0.1753003211140658,0.3310294079367031,14.520000457763672,2.2260000705718994,16.839694257074484,0.16987442841713413,0.3355433495494226,14.59000015258789,2.4094998836517334,16.97599746281619,0.17232006534695518,180812800,8265700,541428000,47993800,418032000
2004-02-04,0.32786959409713745,14.130000114440918,2.2695000171661377,16.7343692779541,0.16750580072402954,0.3323835107434732,14.670000076293945,2.2955000400543213,16.994585357699126,0.171096771894714,0.32651550197301177,14.050000190734863,2.2149999141693115,16.7343692779541,0.1672765534568107,0.33102941861934754,14.520000457763672,2.240499973297119,16.864476726966263,0.1697212746270232,305552800,12061600,432014000,60648000,436800000
2004-02-05,0.33734917640686035,14.170000076293945,2.302000045776367,16.70339584350586,0.17002753913402557,0.34472210211981313,14.34000015258789,2.3545000553131104,16.833504516096287,0.17193765508565212,0.3281704927361111,14.0600004196167,2.2950000762939453,16.62285327988023,0.1673526553226354,0.3283213408761301,14.149999618530273,2.301500082015991,16.765352297990773,0.1684227946827206,352844800,10378500,263790000,55527500,331980000
2004-02-06,0.3417131006717682,14.9399995803833,2.317500114440918,16.77773666381836,0.17392480373382568,0.34442128559797053,14.989999771118164,2.3364999294281006,16.845888852833774,0.17636952486947963,0.3370483598671192,14.180000305175781,2.2755000591278076,16.684802612619524,0.1713260167400711,0.3378008176128327,14.199999809265137,2.305500030517578,16.74675904065894,0.17224301946036152,193340000,8494600,130162000,47209600,471132000
2004-02-09,0.3411106765270233,15.0600004196167,2.2929999828338623,16.666213989257812,0.17270152270793915,0.3439696848106968,15.449999809265137,2.3399999141693115,16.8706693581395,0.17805130404501346,0.33855331433472874,14.949999809265137,2.2850000858306885,16.63523636858987,0.17262541212656,0.3403590473927358,15.010000228881836,2.3375000953674316,16.84588749794924,0.1752232698682524,188260800,8048500,122922000,48108500,373992000
2004-02-10,0.3457753360271454,15.539999961853027,2.2795000076293945,16.740564346313477,0.1790444403886795,0.34788188597987885,15.5600004196167,2.3125,16.821106880692106,0.17919757708444503,0.3376499535383367,15.0600004196167,2.2755000591278076,16.6166514823395,0.17316003953286824,0.3403589668331777,15.140000343322754,2.2925000190734863,16.64763028919332,0.17323706563744845,255343200,8680200,98980000,37790600,509700000
2004-02-11,0.3581138253211975,15.710000038146973,2.3570001125335693,16.821102142333984,0.18531031906604767,0.3591671002439988,15.850000381469727,2.368000030517578,16.870667037617444,0.1859219503665827,0.3468285933651555,15.550000190734863,2.2769999504089355,16.63523408045108,0.1807253047737389,0.34743022797880907,15.600000381469727,2.2929999828338623,16.709580832516117,0.1813369497386537,348544000,10284600,157634000,51515300,737808000
2004-02-12,0.3570605516433716,15.09000015258789,2.3529999256134033,16.69718360900879,0.17973212897777557,0.3609728340413909,15.710000038146973,2.4049999713897705,16.82109520525571,0.18531025478872556,0.3551048247932708,14.970000267028809,2.3355000019073486,16.684792094868147,0.1769050244523623,0.35525479398624465,15.710000038146973,2.3464999198913574,16.783921844553618,0.1843171416797118,183988000,9645500,135144000,44537000,974892000
2004-02-13,0.3460761606693268,14.9399995803833,2.319000005722046,16.47414207458496,0.17805129289627075,0.3626277684312182,15.399999618530273,2.384999990463257,16.765335584127147,0.18255926632514402,0.34351879902824184,14.760000228881836,2.312000036239624,16.41838143931009,0.173466279713188,0.35886630877830683,15.25,2.364500045776367,16.715770706296137,0.174994011653528,315980000,10415300,108634000,67541100,1747500000
