Model,Embedding,MAE,Accuracy
DENSE,cls,0.028124923696807053,0.5550847457627118
DENSE,max,0.1759610206224023,0.4364406779661017
DENSE,mean,0.030017111957995626,0.4915254237288136
LSTM,cls,0.0405132855865492,0.5169491525423728
LSTM,max,0.016150114026614974,0.47457627118644063
LSTM,mean,0.05115511914199705,0.5677966101694916
